shipment_id,supplier_id,warehouse_name,shipment_date,delivery_date,quantity_shipped,transportation_cost,shipment_status,product_category
1,456,Ware House D,2026-05-21,2026-05-26,7,9993,Delivered,Electronics
2,76,Ware House E,2026-05-10,2026-05-12,76,2300,In Transit,FMCG
3,71,Ware House B,2026-05-06,2026-05-15,59,3252,Delayed,Pharma
4,405,Ware House E,2026-05-29,2026-06-02,48,9677,Delayed,Automotive
5,316,Ware House E,2026-05-14,2026-05-21,10,7872,Delayed,FMCG
6,312,Ware House A,2026-05-17,2026-05-25,20,3831,Cancelled,Electronics
7,83,Ware House C,2026-05-08,2026-05-10,68,6531,Cancelled,Automotive
8,480,Ware House A,2026-05-24,2026-05-27,73,8700,In Transit,Industrial
9,434,Ware House B,2026-05-17,2026-05-24,89,5422,Delivered,Electronics
10,412,Ware House A,2026-06-01,2026-06-10,96,6264,Delayed,Pharma
11,189,Ware House E,2026-06-01,2026-06-03,59,9764,Delayed,Electronics
12,491,Ware House E,2026-05-18,2026-05-21,23,681,Delivered,FMCG
13,22,Ware House E,2026-05-09,2026-05-11,45,1694,Delivered,Industrial
14,29,Ware House B,2026-05-26,2026-05-27,86,248,In Transit,Electronics
15,196,Ware House E,2026-05-25,2026-05-26,60,4173,In Transit,Industrial
16,430,Ware House E,2026-05-27,2026-05-28,44,5027,Cancelled,Industrial
17,155,Ware House C,2026-05-26,2026-06-05,75,2246,In Transit,FMCG
18,458,Ware House E,2026-06-02,2026-06-07,52,7195,Delayed,Automotive
19,110,Ware House A,2026-05-23,2026-05-24,65,4630,Delayed,Electronics
20,219,Ware House D,2026-05-28,2026-06-04,28,6110,In Transit,Industrial
21,159,Ware House D,2026-05-10,2026-05-13,3,5205,In Transit,FMCG
22,389,Ware House C,2026-05-24,2026-05-26,9,2236,Delayed,Industrial
23,334,Ware House E,2026-05-13,2026-05-17,94,9490,Cancelled,Automotive
24,7,Ware House B,2026-05-26,2026-06-05,7,6127,Cancelled,Industrial
25,467,Ware House C,2026-05-22,2026-05-27,20,204,Delayed,Pharma
26,429,Ware House A,2026-05-28,2026-06-01,60,8574,Delivered,Industrial
27,437,Ware House B,2026-05-14,2026-05-20,50,4950,Delayed,Electronics
28,391,Ware House B,2026-05-11,2026-05-17,25,9338,Cancelled,Industrial
29,392,Ware House B,2026-05-09,2026-05-19,89,7639,Delivered,Industrial
30,10,Ware House B,2026-05-28,2026-06-04,52,7707,Delivered,Electronics
31,211,Ware House C,2026-05-24,2026-05-25,20,8670,Cancelled,Electronics
32,254,Ware House C,2026-05-23,2026-05-31,99,9796,In Transit,Industrial
33,402,Ware House E,2026-05-25,2026-05-27,73,625,Cancelled,Industrial
34,314,Ware House A,2026-05-28,2026-06-04,85,4178,Cancelled,Electronics
35,136,Ware House C,2026-05-24,2026-05-28,35,5192,Cancelled,Pharma
36,61,Ware House E,2026-05-31,2026-06-10,73,2854,Delayed,FMCG
37,390,Ware House D,2026-05-29,2026-05-31,18,1189,Delivered,Pharma
38,401,Ware House C,2026-06-04,2026-06-10,61,3544,Delivered,FMCG
39,79,Ware House E,2026-05-29,2026-05-30,35,7627,Cancelled,Pharma
40,179,Ware House B,2026-05-16,2026-05-24,53,2703,Delivered,Pharma
41,421,Ware House C,2026-05-27,2026-05-30,10,5969,In Transit,Industrial
42,190,Ware House B,2026-05-31,2026-06-06,78,7830,Delayed,Electronics
43,357,Ware House E,2026-05-17,2026-05-19,32,3552,Delayed,FMCG
44,430,Ware House B,2026-05-13,2026-05-14,75,5965,Delivered,FMCG
